housing,job,day,qualification,month,location,online.banking,checking.account,prev.sales,year.contact,length,central.interest.rate,employment.rate,customer.satisfaction,price.index,credit.rating,age,staff_total,confidence.index,emails.month,y
no,Librarian,thu,highschool.certificate,may,Inner.city,inactive,no,0,1,285,5.782,3.35,Satisfactory,103.6652,excellent,56,15558,103.49,1,no
no,Librarian,tue,highschool.certificate,may,Inner.city,inactive,no,0,3,110,6.092,3.35,Satisfactory,108.9152,satisfactory,56,15592,102.38,0,no
no,Self-employed,mon,highschool.certificate,jul,Inner.city,active,yes,0,5,274,5.713,3.8,Satisfactory,108.4644,satisfactory,49,15657,84.33,1,no
no,Self-employed,mon,Higher.school.certificate,may,Inner.city,inactive,no,0,3,337,5.86,3.15,Satisfactory,108.2752,satisfactory,41,15585,101.33,0,no
no,Driver,tue,doctorate,jun,Inner.city,inactive,yes,0,0,610,5.232,1.15,High,107.67,satisfactory,36,15593,86.17,1,no
no,Self-employed,mon,Higher.school.certificate,jul,Inner.city,active,yes,0,2,412,5.433,3.7,Satisfactory,108.1944,poor,26,15658,83.47,0,no
yes,Lawyer,wed,other,jun,Inner.city,inactive,yes,0,1,472,1.624,-0.95,Satisfactory,107.604,satisfactory,49,14991,92.87,0,no
no,Driver,mon,doctorate,may,Inner.city,inactive,no,0,2,260,5.333,2.95,Satisfactory,107.6852,poor,39,15579,93.9,1,no
yes,Retail,mon,TAFE,jun,Inner.city,inactive,no,0,2,372,6.395,3.5,Satisfactory,106.742,poor,39,15670,85.08,1,no
unknown,Self-employed,fri,highschool.certificate,jul,Inner.city,not.registered,yes,0,0,1000,6.406,3.4,Satisfactory,108.6844,satisfactory,44,15659,85.23,0,no
no,Self-employed,tue,Bachelour.degree,apr,Inner.city,inactive,no,0,1,488,2.467,-1,High,108.71,poor,32,15265,80.78,3,no
no,Plumber,wed,highschool.certificate,may,suburban,inactive,no,0,1,216,5.529,3.25,Satisfactory,107.7652,satisfactory,25,15512,98.64,0,no
yes,Gardener,mon,TAFE,may,Inner.city,inactive,no,0,5,197,2.287,-1.2,Satisfactory,105.7444,satisfactory,45,15329,76.07,0,no
no,Plumber,wed,other,jul,Inner.city,inactive,yes,0,2,270,6.496,3.4,Satisfactory,103.3944,satisfactory,54,15746,85.84,1,no
yes,Lawyer,tue,other,may,Inner.city,inactive,no,0,2,249,5.043,3.25,Satisfactory,109.0252,satisfactory,37,15549,97.39,1,no
no,Electrician,wed,other,jul,Inner.city,inactive,yes,0,2,683,6.736,3.6,Satisfactory,110.5944,poor,35,15708,81.26,1,no
yes,Librarian,fri,doctorate,jul,suburban,inactive,yes,0,5,406,6.705,3.6,Satisfactory,111.5244,poor,55,15687,86.11,1,no
no,Gardener,wed,Bachelour.degree,jul,Inner.city,inactive,yes,0,2,231,5.725,3.4,Satisfactory,109.2244,satisfactory,27,15671,87.17,1,no
yes,Self-employed,fri,Higher.school.certificate,may,Inner.city,inactive,yes,0,4,115,1.249,-1.2,Satisfactory,104.6044,poor,27,15272,80.29,1,no
no,Driver,wed,other,jul,Inner.city,active,no,0,2,432,5.82,3.8,Satisfactory,109.5644,poor,26,15695,85.37,1,no
yes,Electrician,fri,Bachelour.degree,jul,suburban,inactive,no,0,1,222,5.565,3.4,Satisfactory,106.1844,satisfactory,44,15751,87.76,0,no
yes,Lawyer,thu,unknown,nov,Inner.city,active,yes,0,3,404,5.66,1.55,Satisfactory,106.93,satisfactory,43,15624,85.49,0,no
no,Lawyer,tue,doctorate,may,Inner.city,inactive,no,0,5,565,6.497,2.95,Satisfactory,111.8452,poor,46,15541,99.26,1,no
yes,Gardener,mon,unknown,jul,suburban,inactive,yes,0,1,114,5.432,3.4,Satisfactory,108.1444,satisfactory,50,15644,86.07,1,no
no,Lawyer,wed,other,jul,Inner.city,inactive,yes,0,1,1332,5.594,3.6,Satisfactory,104.9144,poor,28,15714,85.47,0,yes
yes,Gardener,wed,Bachelour.degree,may,suburban,inactive,no,0,1,143,6.218,3.35,Satisfactory,108.3352,satisfactory,50,15562,97.69,1,no
no,Self-employed,thu,Higher.school.certificate,nov,Inner.city,inactive,yes,0,3,1549,5.169,1.55,Satisfactory,103.55,satisfactory,35,15558,85.26,0,yes
no,Driver,fri,doctorate,may,Inner.city,inactive,no,0,1,141,2.15,-1.2,High,106.2144,satisfactory,37,15331,80.06,2,no
yes,Lawyer,thu,other,aug,Inner.city,inactive,yes,0,0,336,5.551,3.5,Satisfactory,106.5552,satisfactory,34,15676,97.92,1,no
yes,Driver,mon,doctorate,apr,Inner.city,inactive,no,0,5,35,1.87,-1.2,High,103.82,excellent,46,15330,73.5,2,no
no,Other,fri,unknown,oct,Inner.city,inactive,no,0,2,385,6.083,1.15,Satisfactory,108.0484,satisfactory,54,15562,87.38,0,yes
yes,Self-employed,tue,highschool.certificate,may,Inner.city,inactive,no,0,4,539,6.056,3.05,Satisfactory,111.5452,satisfactory,43,15592,97.37,0,no
yes,Self-employed,tue,TAFE,may,Inner.city,inactive,yes,0,1,625,2.875,-1,High,105.6744,satisfactory,44,15293,75.25,1,no
yes,Self-employed,wed,Higher.school.certificate,may,Inner.city,inactive,yes,0,2,317,2.342,-1.3,Satisfactory,105.0144,poor,38,15302,77.52,0,no
yes,Self-employed,thu,Higher.school.certificate,aug,suburban,inactive,yes,0,2,1133,6.509,3.7,Low,107.0452,satisfactory,52,15598,96.35,1,no
no,Driver,fri,doctorate,may,Inner.city,inactive,no,0,1,26,2.614,-1.2,Satisfactory,106.0044,poor,41,15350,75.93,0,no
yes,Self-employed,mon,Higher.school.certificate,aug,Inner.city,inactive,yes,0,3,550,5.996,3.8,Satisfactory,106.2252,satisfactory,57,15670,101.12,0,no
yes,Driver,tue,other,jul,Inner.city,inactive,yes,0,0,611,2.367,-2.65,Satisfactory,104.3952,poor,36,15227,101.93,0,no
yes,Academic,thu,highschool.certificate,aug,suburban,inactive,yes,0,2,174,6.328,3.8,Satisfactory,105.4952,satisfactory,44,15668,102.14,1,no
yes,Driver,wed,unknown,aug,Inner.city,inactive,yes,0,1,185,5.337,3.7,Satisfactory,111.7852,satisfactory,37,15684,98.63,0,no
no,Doctor,wed,Bachelour.degree,jul,Inner.city,inactive,yes,0,3,158,6.202,3.5,Satisfactory,108.1844,satisfactory,42,15679,84.92,1,no
yes,Retail,fri,other,aug,Inner.city,inactive,yes,0,3,112,6.2,3.5,Satisfactory,105.3952,satisfactory,31,15690,98.45,0,no
yes,Doctor,tue,highschool.certificate,nov,Inner.city,inactive,yes,0,1,323,5.675,1.15,Satisfactory,113.01,satisfactory,45,15565,86.62,1,no
no,Lawyer,fri,doctorate,nov,Inner.city,inactive,yes,0,1,388,6.916,3.4,Satisfactory,108.0452,satisfactory,34,15657,97.02,0,no
yes,Lawyer,mon,highschool.certificate,may,Inner.city,inactive,yes,0,1,361,2.11,-1,Satisfactory,105.5108,excellent,59,14991,88.94,0,yes
no,Electrician,mon,other,apr,Inner.city,active,yes,0,1,345,1.841,-1.1,Satisfactory,105.8,satisfactory,26,15279,73.86,0,yes
no,Lawyer,thu,other,nov,Inner.city,inactive,yes,0,4,243,4.62,1.25,Satisfactory,110.87,satisfactory,31,15613,88.3,0,no
no,Lawyer,thu,other,jul,Inner.city,active,no,0,16,100,5.301,3.6,Satisfactory,107.7044,excellent,43,15694,85.56,0,no
yes,Driver,fri,Bachelour.degree,aug,suburban,inactive,no,0,0,235,5.726,3.4,Satisfactory,106.8052,excellent,36,15704,98.4,0,no
no,Driver,mon,doctorate,jun,Inner.city,inactive,no,0,6,171,5.603,3.7,Satisfactory,104.352,satisfactory,41,15636,86.22,1,no
no,Driver,tue,Bachelour.degree,jun,Inner.city,inactive,no,0,4,104,6.541,3.8,Satisfactory,107.592,satisfactory,39,15729,89.96,0,yes
yes,Self-employed,wed,Higher.school.certificate,jun,Inner.city,inactive,no,0,0,35,6.226,3.6,Satisfactory,104.942,poor,31,15701,86.94,0,no
no,Electrician,fri,unknown,jul,Inner.city,inactive,no,0,3,468,6.136,3.25,Satisfactory,108.3652,satisfactory,40,15589,99.53,0,no
yes,Lawyer,fri,Higher.school.certificate,jun,suburban,inactive,no,0,3,1605,6.629,3.5,Satisfactory,108.482,poor,49,15674,87.87,0,yes
no,Self-employed,mon,Higher.school.certificate,may,suburban,inactive,no,0,4,687,5.962,3.15,Satisfactory,107.1552,satisfactory,39,15610,98.51,0,no
yes,Self-employed,wed,Higher.school.certificate,aug,Inner.city,inactive,yes,0,5,148,5.87,3.6,Satisfactory,109.5152,satisfactory,51,15715,97.09,1,no
no,Doctor,mon,other,aug,Inner.city,inactive,yes,0,4,202,5.799,3.4,Satisfactory,109.9552,satisfactory,33,15725,99.39,1,no
yes,Self-employed,mon,highschool.certificate,may,suburban,inactive,yes,0,0,1030,5.724,3.35,Satisfactory,106.6252,satisfactory,42,15559,94.24,1,no
no,Lawyer,mon,other,aug,Inner.city,inactive,yes,0,3,114,5.878,3.5,Satisfactory,108.0452,satisfactory,29,15668,99.19,1,no
yes,Lawyer,wed,other,jul,Inner.city,inactive,no,0,7,136,5.486,3.5,Satisfactory,111.3544,poor,27,15654,85.22,0,no
no,Chef,mon,Bachelour.degree,may,suburban,inactive,no,0,9,89,6.22,3.05,Satisfactory,104.9552,poor,28,15590,96.66,0,no
yes,Driver,tue,Higher.school.certificate,aug,Inner.city,active,yes,0,0,377,5.866,3.5,Satisfactory,107.4252,satisfactory,42,15647,96.75,0,no
no,Driver,thu,doctorate,aug,Inner.city,inactive,yes,0,0,1254,6.041,3.8,Satisfactory,108.3552,poor,32,15663,99.4,0,no
yes,Self-employed,tue,Higher.school.certificate,may,Inner.city,inactive,no,0,0,227,6.643,2.95,Satisfactory,105.7752,satisfactory,33,15581,100.05,1,no
no,Lawyer,tue,Bachelour.degree,jun,Inner.city,inactive,no,0,4,446,5.56,3.8,Satisfactory,106.082,satisfactory,50,15655,88.5,0,no
no,Driver,fri,doctorate,aug,Inner.city,inactive,yes,0,1,188,6.083,3.8,Satisfactory,108.2652,poor,31,15741,98.2,1,yes
yes,Gardener,wed,Bachelour.degree,jun,Inner.city,inactive,no,0,0,464,6.118,3.6,Satisfactory,105.932,satisfactory,28,15676,83.7,1,yes
yes,Plumber,fri,other,may,Inner.city,active,no,0,0,63,2.03,-1.3,High,104.8244,excellent,55,15297,76.05,1,no
no,Gardener,fri,Bachelour.degree,may,Inner.city,inactive,no,0,4,122,6.403,3.15,Satisfactory,107.6452,poor,27,15565,102.05,0,no
no,Retail,mon,Bachelour.degree,oct,Inner.city,inactive,yes,0,1,436,2.381,-3.6,Satisfactory,108.4848,satisfactory,32,15080,117.34,1,no
no,Gardener,fri,Bachelour.degree,may,Inner.city,inactive,no,0,3,187,6.518,3.25,Satisfactory,106.8852,excellent,22,15549,100.61,0,no
unknown,Driver,fri,unknown,may,Inner.city,not.registered,no,0,2,386,6.068,3.35,Satisfactory,106.2852,satisfactory,39,15617,98.41,1,yes
yes,Driver,thu,doctorate,jul,Inner.city,active,yes,0,1,457,5.573,3.8,Satisfactory,107.6544,excellent,56,15662,85.27,1,no
no,Gardener,wed,Higher.school.certificate,jul,Inner.city,not.registered,yes,0,0,1843,6.683,3.7,Satisfactory,112.1444,excellent,36,15731,86.15,1,no
yes,Lawyer,thu,Bachelour.degree,aug,Inner.city,inactive,yes,0,2,228,6.042,3.8,Satisfactory,109.5052,poor,32,15644,101.06,0,no
yes,Driver,fri,Bachelour.degree,aug,Inner.city,inactive,yes,0,2,179,6.053,3.7,Satisfactory,107.2052,poor,34,15703,101.22,0,no
yes,Self-employed,tue,unknown,may,Inner.city,inactive,yes,0,6,257,2.109,-1.1,Satisfactory,109.4444,satisfactory,44,15317,76.87,1,yes
yes,Retail,tue,Bachelour.degree,sep,suburban,inactive,no,0,2,318,3.217,-1.1,Satisfactory,108.2544,satisfactory,26,15290,79.41,0,no
no,Electrician,mon,other,jul,Inner.city,inactive,yes,0,1,160,6.134,3.4,Satisfactory,105.2244,satisfactory,51,15664,84.54,0,yes
no,Electrician,tue,Higher.school.certificate,may,Inner.city,inactive,yes,0,1,348,2.424,-1.1,High,107.7944,satisfactory,32,15288,74.93,1,no
no,Academic,tue,other,aug,Inner.city,inactive,yes,0,4,141,1.742,-2.75,Satisfactory,104.2108,satisfactory,52,15221,112.05,1,no
yes,Plumber,mon,other,may,Inner.city,inactive,no,0,2,1589,5.981,3.15,Satisfactory,113.2352,satisfactory,51,15521,97.71,1,no
yes,Lawyer,tue,other,nov,Inner.city,inactive,yes,0,3,1416,5.437,1.45,Satisfactory,107.5,poor,38,15602,88.86,0,yes
yes,Self-employed,tue,highschool.certificate,jul,Inner.city,inactive,yes,0,2,170,6.214,3.6,Satisfactory,107.4044,excellent,55,15670,86.33,1,no
unknown,Librarian,fri,highschool.certificate,may,suburban,not.registered,no,0,2,974,6.381,3.35,Satisfactory,110.3652,satisfactory,46,15539,99.77,1,no
yes,Lawyer,mon,Bachelour.degree,may,Inner.city,inactive,yes,0,1,351,1.932,-1.3,Satisfactory,108.1144,satisfactory,35,15251,79.19,1,no
yes,Self-employed,wed,unknown,aug,Inner.city,inactive,yes,0,2,180,1.996,-1.2,Low,108.4244,satisfactory,38,15282,76.79,1,no
yes,Academic,wed,other,may,Inner.city,inactive,no,0,2,520,5.715,3.25,Satisfactory,104.9252,poor,43,15533,95.36,1,no
yes,Plumber,wed,other,aug,Inner.city,inactive,no,0,4,206,6.878,3.8,Satisfactory,112.6752,satisfactory,36,15658,98.56,0,no
yes,Driver,wed,doctorate,may,Inner.city,inactive,no,0,1,519,5.32,3.15,Satisfactory,109.2752,satisfactory,41,15528,95.29,0,yes
yes,Lawyer,wed,Bachelour.degree,jul,Inner.city,inactive,no,0,4,325,6.529,3.5,Satisfactory,108.9344,poor,31,15667,83.79,0,no
no,Gardener,mon,doctorate,may,Inner.city,inactive,yes,0,5,182,2.65,-1,Satisfactory,106.0544,satisfactory,33,15282,76.22,0,no
yes,Electrician,fri,other,jul,Inner.city,inactive,yes,0,2,419,5.018,1.55,Satisfactory,106.68,satisfactory,34,15588,90.48,1,no
no,Plumber,mon,other,apr,Inner.city,inactive,yes,0,2,1130,2.302,-1.1,Satisfactory,104.61,satisfactory,35,15328,78.21,1,no
no,Gardener,wed,Bachelour.degree,jul,Inner.city,inactive,no,0,15,96,5.245,3.4,Satisfactory,109.5444,poor,25,15738,89.15,0,no
no,Driver,wed,doctorate,jul,Inner.city,inactive,no,0,0,97,6.003,3.6,Satisfactory,110.9444,excellent,41,15725,87.56,0,no
no,Lawyer,mon,Higher.school.certificate,may,suburban,inactive,no,0,2,304,5.322,3.35,Satisfactory,105.9652,satisfactory,52,15562,94.03,1,no
yes,Gardener,tue,Bachelour.degree,may,Inner.city,inactive,no,0,2,440,6.17,3.25,Satisfactory,110.8452,poor,30,15561,99.16,0,no
yes,Gardener,mon,Bachelour.degree,jul,suburban,inactive,yes,0,5,436,6.659,3.4,Satisfactory,106.0244,satisfactory,51,15652,85.05,1,no
no,Self-employed,mon,Bachelour.degree,jul,Inner.city,inactive,yes,0,3,119,6.244,3.8,Satisfactory,110.3344,poor,33,15599,86.49,0,no
yes,Self-employed,tue,Bachelour.degree,may,Inner.city,inactive,yes,0,1,256,5.768,1.45,Satisfactory,105.81,poor,42,15560,89.53,1,no
no,Self-employed,mon,TAFE,jul,Inner.city,inactive,no,0,5,84,6.518,3.4,Satisfactory,110.2444,satisfactory,38,15698,87.83,0,no
no,Lawyer,mon,other,jul,Inner.city,inactive,no,0,3,1658,5.588,3.4,Satisfactory,106.8344,satisfactory,37,15697,84.92,1,yes
unknown,Self-employed,wed,Bachelour.degree,jun,suburban,not.registered,no,0,0,226,6.264,3.4,Satisfactory,110.832,satisfactory,40,15663,86.11,0,no
yes,Driver,fri,doctorate,may,Inner.city,inactive,no,0,4,205,6.728,3.35,Satisfactory,105.0052,satisfactory,38,15552,94.93,1,no
yes,Gardener,fri,doctorate,jul,Inner.city,inactive,yes,0,1,1284,5.765,3.5,Satisfactory,105.1544,poor,34,15701,85.52,1,yes
no,Self-employed,tue,Higher.school.certificate,jul,Inner.city,active,no,0,3,2819,5.702,3.7,Satisfactory,104.7144,satisfactory,41,15710,85.75,0,yes
no,Electrician,thu,Higher.school.certificate,jul,suburban,active,no,0,8,204,5.92,3.4,Satisfactory,113.2644,satisfactory,39,15730,85.96,1,no
no,Retail,thu,Bachelour.degree,jul,suburban,inactive,yes,0,2,186,6.23,3.8,Satisfactory,108.5152,poor,58,15746,99.32,1,no
yes,Lawyer,tue,doctorate,aug,Inner.city,inactive,yes,0,7,801,6.225,3.8,Satisfactory,111.9252,satisfactory,38,15673,101.25,0,no
no,Librarian,thu,highschool.certificate,apr,Inner.city,inactive,yes,0,0,215,1.886,-1.3,Satisfactory,108.08,satisfactory,84,15305,76.12,0,no
no,Self-employed,tue,Higher.school.certificate,apr,Inner.city,inactive,yes,0,2,628,2.475,-1,Satisfactory,107.43,satisfactory,55,15296,74.94,1,no
yes,Lawyer,thu,other,may,Inner.city,inactive,yes,0,4,328,2.345,-1.1,Satisfactory,107.4444,satisfactory,46,15262,78.42,0,yes
no,Retail,thu,highschool.certificate,dec,Inner.city,inactive,no,0,0,1378,0.871,-3,Satisfactory,108.6704,satisfactory,26,15076,102.38,0,yes
yes,Chef,mon,Bachelour.degree,apr,Inner.city,inactive,yes,0,4,255,2.772,-1,Satisfactory,111.72,poor,18,15266,74.38,0,no
no,Doctor,tue,Bachelour.degree,nov,Inner.city,inactive,no,0,2,241,5.829,1.45,Satisfactory,107.34,satisfactory,47,15642,85.25,1,no
yes,Driver,mon,doctorate,apr,suburban,inactive,yes,0,4,231,2.058,-1.4,Satisfactory,105.82,excellent,44,15234,77.21,0,no
yes,Self-employed,thu,highschool.certificate,may,suburban,inactive,yes,0,2,380,2.387,-1.4,Satisfactory,108.7544,satisfactory,40,15288,78.49,0,no
yes,Lawyer,fri,TAFE,jul,Inner.city,inactive,yes,0,2,831,5.109,3.6,Satisfactory,107.8044,satisfactory,48,15706,88.25,0,no
yes,Self-employed,thu,Higher.school.certificate,jun,Inner.city,inactive,no,0,0,48,5.829,3.4,Satisfactory,106.302,satisfactory,38,15679,87.76,1,no
yes,Academic,fri,highschool.certificate,may,suburban,inactive,no,0,10,230,6.016,3.15,Satisfactory,107.6252,excellent,51,15561,97.48,1,no
no,Self-employed,wed,other,may,Inner.city,inactive,yes,0,0,94,1.633,-1,High,108.2844,satisfactory,53,15344,77.81,2,no
no,Lawyer,wed,Bachelour.degree,aug,Inner.city,inactive,no,0,2,470,1.863,-2.85,Satisfactory,106.9108,satisfactory,46,15260,107.5,0,yes
yes,Lawyer,mon,other,aug,Inner.city,inactive,yes,0,3,104,6.565,3.5,Satisfactory,106.9752,poor,35,15640,98.5,0,no
yes,Self-employed,fri,doctorate,nov,Inner.city,inactive,yes,0,0,183,4.889,1.45,Satisfactory,109.99,excellent,47,15611,87.28,0,no
yes,Electrician,tue,other,apr,suburban,active,yes,1,2,1088,2.622,-1.1,Low,109.24,poor,38,15295,77.54,1,yes
yes,Retail,tue,other,aug,Inner.city,inactive,yes,0,1,81,1.34,-2.65,Satisfactory,107.9308,poor,27,15222,109.25,0,yes
yes,Lawyer,wed,TAFE,jul,suburban,inactive,yes,0,2,301,5.865,3.7,Satisfactory,109.0144,satisfactory,39,15697,89.29,0,no
yes,Electrician,thu,honours.degree,nov,Inner.city,inactive,yes,0,0,1062,5.679,1.25,Satisfactory,106.13,satisfactory,36,15567,85.86,0,yes
no,Driver,fri,Higher.school.certificate,jul,suburban,inactive,yes,0,8,326,5.891,3.4,Satisfactory,108.4344,poor,24,15722,84.04,1,no
yes,Driver,fri,other,aug,Inner.city,inactive,yes,0,0,434,6.467,3.6,Satisfactory,107.2252,poor,36,15669,98.15,1,no
yes,Plumber,thu,other,aug,Inner.city,inactive,yes,0,1,285,6.495,3.6,Satisfactory,106.2252,satisfactory,42,15712,103.53,0,yes
no,Driver,wed,other,jun,suburban,inactive,no,0,0,802,6.221,3.4,Satisfactory,105.442,satisfactory,33,15676,84.32,0,no
no,Self-employed,mon,Bachelour.degree,jul,suburban,inactive,no,0,4,1519,5.911,3.8,Satisfactory,109.7444,excellent,50,15655,84.2,1,no
